date,subject,Year
2026-02-13,12HHD,12
2026-02-16,12EAL,12
2026-02-16,12FRE,12
2026-02-16,11BUS,11
2026-02-18,12LEG,12
2026-02-20,12BUS,12
2026-02-20,11BIO,11
2026-02-20,11FRE,11
2026-02-23,11PHY,11
2026-02-23,11LEG,11
2026-02-25,12LIT,12
2026-03-02,12BIO,12
2026-03-02,11CHE,11
2026-03-04,12ECO,12
2026-03-04,12CYA,12
2026-03-04,11LIT,11
2026-03-06,12CHE,12
2026-03-06,12VCD,12
2026-03-06,11MAM,11
2026-03-11,12EAL,12
2026-03-11,12HHD,12
2026-03-11,12POL,12
2026-03-13,12MAG,12
2026-03-13,11MAG,11
2026-03-13,12PHY,12
2026-03-13,11ENG,11
2026-03-13,11ENL,11
2026-03-13,12ACC,12
2026-03-13,11PSY,11
2026-03-16,12ENG,12
2026-03-16,11MAS,11
2026-03-16,11MUP,11
2026-03-18,12PED,12
2026-03-18,12CYS,12
2026-03-20,12PSY,12
2026-03-20,11PED,11
2026-03-20,11EAL,11
2026-03-25,12CYF,12
2026-03-27,12ENL,12
2026-03-27,12CYA,12
2026-03-27,11BUS,11
2026-03-30,12ENL,12
2026-04-01,12CHE,12
2026-03-30,11PHY,11
2026-04-01,11ACC,11
2026-04-22,12BUS,12
2026-04-24,12MAS,12
2026-04-24,12PSY,12
2026-04-29,12ACC,12
2026-05-01,12MAM,12
2026-05-01,11ENL,11
2026-05-04,12EAL,12
2026-05-04,12ECO,12
2026-05-04,11ECO,11
2026-05-06,12PHY,12
2026-05-06,12HHD,12
2026-05-08,12ENG,12
2026-05-08,11MAS,11
2026-05-11,12MAM,12
2026-05-11,11EAL,11
2026-05-12,12CHE,12
2026-05-12,11CHE,11
2026-05-12,11MAG,11
2026-05-12,12BIO,12
2026-05-12,12LIT,12
2026-05-15,12CYA,12
2026-05-15,12CYF,12
2026-05-15,12POL,12
2026-05-15,11BIO,11
2026-05-18,11PHY,11
2026-05-18,11PSY,11
2026-05-20,12PED,12
2026-05-22,11MAM,11
2026-05-22,11ENG,11
2026-05-25,12PSY,12
2026-05-25,11BUS,11
2026-05-27,12ACC,12
2026-05-27,11PED,11
2026-05-29,12MAG,12
2026-05-29,12LIT,12
2026-05-29,12BUS,12
2026-06-01,12HHD,12
2026-06-01,12LEG,12
2026-06-05,12PHY,12
2026-06-05,12ECO,12
2026-06-05,12MUP,12
2026-06-05,12MUC,12
2026-06-03,12MAG,12
2026-06-03,12ENL,12
2026-06-04,12CHE,12
2026-06-04,12ENL,12
2026-06-10,12CYA,12
2026-06-19,12CYF,12
2026-06-19,12CYS,12
2026-06-22,12ENG,12
2026-06-24,12EAL,12
2026-06-24,12PED,12
2026-07-15,12ACC,12
2026-07-20,12MAM,12
2026-07-20,11PHY,11
2026-07-22,12FRE,12
2026-07-22,12POL,12
2026-07-24,12BUS,12
2026-07-24,11BUS,11
2026-07-27,12PSY,12
2026-07-29,12MAG,12
2026-07-31,12MAS,12
2026-08-03,12HHD,12
2026-08-03,12BIO,12
2026-08-03,11EAL,11
2026-08-03,11LEG,11
2026-08-04,11MAS,11
2026-08-04,11MAG,11
2026-08-04,11CHE,11
2026-08-05,12ACC,12
2026-08-05,12PED,12
2026-08-07,12CHE,12
2026-08-07,12ECO,12
2026-08-07,11PSY,11
2026-08-10,12ENL,12
2026-08-10,12CYF,12
2026-08-12,12CYA,12
2026-08-14,11ECO,11
2026-08-14,11OES,11
2026-08-17,11BIO,11
2026-08-21,12ART,12
2026-08-21,11ENG,11
2026-08-24,12ENG,12
2026-08-24,11ENL,11
2026-08-26,12EAL,12
2026-08-28,11MAM,11
2026-08-31,12BUS,12
2026-08-31,11PED,11
2026-09-02,12PED,12
2026-09-04,12ECO,12
2026-09-04,11BUS,11
2026-09-07,11ACC,11
2026-09-07,11LEG,11
2026-09-09,12PSY,12
2026-09-09,12CYA,12
2026-09-10,12ENG,12
2026-09-11,12MAG,12
2026-09-11,12BIO,12
2026-09-11,12POL,12
2026-09-11,12MAM,12
2026-09-14,12PED,12
2026-09-14,12LEG,12
2026-09-14,12ACC,12
2026-09-14,12HIS,12
2026-09-14,12MAS,12
2026-09-14,11BIO,11
2026-09-15,12PHY,12
2026-09-15,12HHD,12
2026-09-15,12ENL,12
2026-09-15,12LIT,12
2026-09-16,12CHE,12
2026-10-09,11MAS,11
2026-10-12,11MAG,11
2026-10-16,11MAM,11
2026-10-19,11ENL,11
2026-10-19,11EAL,11
2026-10-23,11PHY,11
2026-10-23,11LEG,11
2026-10-26,11CHE,11
2026-10-26,11BUS,11
2026-10-28,11ACC,11
2026-10-28,11LIT,11
2026-10-30,11PSY,11
2026-10-30,11ENG,11
